test_loss,test_rmse_reconstructed,n_pcs,model,batch_size,window_size,schedule
0.183,0.562,20,agcrn,64,4,standard
0.18,0.583,20,agcrn,32,5,standard
0.833,0.828,20,stemgnn,96,3,cosine_warmup
0.179,0.569,20,agcrn,64,3,standard
0.738,0.704,20,stemgnn,32,6,cosine
0.195,0.59,20,agcrn,96,4,cosine
0.817,0.689,20,stemgnn,64,5,standard
0.16,0.539,20,mtgnn,32,5,standard
0.714,0.653,20,stemgnn,32,3,standard
0.162,0.616,20,mtgnn,64,3,standard
0.744,0.699,20,stemgnn,32,4,standard
0.162,0.606,20,mtgnn,64,4,standard
0.172,0.616,20,mtgnn,32,4,cosine_warmup
0.199,0.584,20,agcrn,96,5,standard
0.787,0.593,20,mtgnn,96,6,cosine
0.876,0.721,20,stemgnn,96,5,cosine_warmup
0.165,0.61,20,mtgnn,96,5,standard
0.868,0.709,20,stemgnn,96,3,standard
0.793,0.581,20,agcrn,96,3,cosine
0.897,0.701,20,stemgnn,96,4,standard
0.792,0.779,20,stemgnn,64,6,cosine
0.257,0.576,20,agcrn,64,6,cosine_warmup
0.79,0.758,20,stemgnn,64,4,cosine_warmup
0.178,0.589,20,fgnn,64,5,standard
0.198,0.591,20,fgnn,32,3,standard
0.787,0.618,20,mtgnn,96,4,cosine_warmup
0.187,0.591,20,agcrn,32,3,cosine
0.162,0.613,20,mtgnn,64,5,cosine_warmup
0.212,0.598,20,fgnn,32,4,standard
0.176,0.613,20,mtgnn,32,6,cosine
0.218,0.675,20,stemgnn,32,5,cosine_warmup
0.183,0.571,20,agcrn,64,4,cosine
0.402,0.563,5,agcrn,64,4,cosine
0.369,0.555,5,fgnn,32,4,cosine
0.795,0.764,5,stemgnn,64,3,cosine
0.235,0.56,5,mtgnn,32,6,cosine
0.401,0.565,5,agcrn,96,3,cosine_warmup
0.711,0.645,5,stemgnn,32,4,cosine
0.397,0.581,5,agcrn,32,3,cosine
0.342,0.584,5,fgnn,64,3,cosine
0.397,0.558,5,agcrn,32,4,standard
0.342,0.56,5,agcrn,96,3,cosine
1.281,0.945,5,stemgnn,96,4,cosine
0.367,0.552,5,agcrn,64,5,standard
0.53,0.718,5,stemgnn,64,6,cosine_warmup
0.916,0.564,5,agcrn,32,3,standard
0.365,0.567,5,fgnn,64,6,standard
0.372,0.569,5,agcrn,32,3,cosine_warmup
0.736,0.576,5,mtgnn,96,6,cosine
0.226,0.564,5,mtgnn,64,5,standard
0.3,0.62,5,mtgnn,32,3,standard
0.257,0.564,5,mtgnn,32,4,standard
0.331,0.57,5,fgnn,96,4,cosine
0.358,0.565,5,agcrn,96,4,standard
0.442,0.684,5,stemgnn,64,6,standard
0.765,0.559,5,agcrn,96,3,standard
0.347,0.563,5,agcrn,32,5,cosine_warmup
0.967,0.888,5,stemgnn,96,3,cosine
0.357,0.563,5,agcrn,96,4,cosine
0.268,0.589,5,mtgnn,96,3,standard
0.347,0.575,5,fgnn,64,6,cosine_warmup
0.399,0.608,5,fgnn,96,3,cosine
0.301,0.632,5,mtgnn,96,6,cosine_warmup
0.279,0.59,5,mtgnn,96,4,standard
0.801,0.653,5,stemgnn,64,4,cosine
0.384,0.572,5,fgnn,32,3,cosine
0.307,0.548,5,agcrn,64,4,cosine_warmup
0.351,0.561,5,agcrn,64,3,cosine
0.489,0.577,5,agcrn,96,5,cosine_warmup
0.374,0.561,5,fgnn,64,4,cosine
0.338,0.561,5,agcrn,32,4,cosine
0.716,0.692,5,stemgnn,32,3,cosine
0.269,0.578,5,mtgnn,32,6,cosine_warmup
0.276,0.589,5,mtgnn,64,6,cosine
0.267,0.587,5,mtgnn,64,3,standard
0.697,0.685,5,stemgnn,32,6,cosine
0.274,0.582,5,mtgnn,32,5,standard
0.264,0.554,5,agcrn,64,3,cosine_warmup
0.283,0.606,5,mtgnn,64,4,standard
0.3,0.603,5,mtgnn,64,3,cosine
0.334,0.559,5,agcrn,64,4,standard
0.438,0.57,5,fgnn,32,6,cosine
0.757,0.559,5,agcrn,64,6,cosine
0.352,0.556,5,agcrn,64,3,standard
0.427,0.575,5,fgnn,32,6,standard
0.47,0.66,5,stemgnn,32,6,cosine_warmup
0.282,0.585,5,mtgnn,32,4,cosine
0.66,0.684,5,stemgnn,96,6,standard
0.311,0.554,5,agcrn,32,5,standard
0.739,0.594,5,mtgnn,96,4,cosine
0.379,0.589,5,fgnn,96,6,cosine
0.608,0.721,5,stemgnn,96,6,cosine_warmup
0.777,0.696,5,stemgnn,96,6,cosine
0.772,0.583,5,mtgnn,96,3,cosine
0.247,0.573,5,mtgnn,64,6,cosine_warmup
0.337,0.58,5,fgnn,96,6,cosine_warmup
0.461,0.789,5,agcrn,32,4,cosine_warmup
0.331,0.558,5,agcrn,96,6,cosine
0.368,0.56,5,agcrn,32,6,cosine
0.333,0.565,5,fgnn,64,6,cosine
0.249,0.568,5,mtgnn,96,5,standard
0.743,0.577,5,mtgnn,64,4,cosine
0.382,0.569,5,fgnn,32,6,cosine_warmup
0.626,0.786,5,stemgnn,64,6,cosine
0.345,0.562,5,agcrn,96,4,cosine_warmup
0.355,0.555,5,agcrn,64,5,cosine_warmup
0.326,0.573,5,fgnn,96,6,standard
0.338,0.563,5,agcrn,96,5,standard
0.441,0.681,5,stemgnn,32,6,standard
0.634,0.609,5,mtgnn,32,3,cosine
0.794,0.791,5,stemgnn,96,5,cosine_warmup
0.388,0.575,5,fgnn,96,3,cosine_warmup
0.803,0.733,5,stemgnn,64,4,cosine_warmup
0.272,0.583,5,mtgnn,64,3,cosine_warmup
0.253,0.586,5,mtgnn,96,6,standard
0.281,0.588,5,mtgnn,64,5,cosine
0.323,0.571,5,fgnn,96,5,standard
0.802,0.71,5,stemgnn,64,3,standard
0.557,0.621,5,stemgnn,32,5,cosine_warmup
0.977,0.802,5,agcrn,96,6,standard
0.515,0.667,5,stemgnn,32,5,standard
0.505,0.725,5,stemgnn,64,4,standard
0.377,0.566,5,fgnn,32,3,cosine_warmup
0.39,0.562,5,fgnn,32,5,cosine_warmup
0.283,0.601,5,mtgnn,32,5,cosine
0.254,0.561,5,mtgnn,32,4,cosine_warmup
0.291,0.596,5,mtgnn,32,6,standard
0.704,0.639,5,stemgnn,32,3,cosine_warmup
0.342,0.559,5,fgnn,32,5,standard
0.395,0.576,5,fgnn,64,3,standard
1.002,0.802,5,agcrn,64,6,cosine_warmup
0.759,0.776,5,stemgnn,96,5,standard
0.919,0.548,5,agcrn,32,6,standard
0.436,0.567,5,fgnn,64,4,standard
0.355,0.585,5,fgnn,96,5,cosine_warmup
0.288,0.603,5,mtgnn,64,5,cosine_warmup
0.755,0.576,5,mtgnn,96,4,cosine_warmup
0.715,0.56,5,fgnn,64,4,cosine_warmup
0.793,0.807,5,stemgnn,96,3,cosine_warmup
0.775,0.569,5,mtgnn,96,5,cosine
0.331,0.586,5,fgnn,96,3,standard
0.513,0.775,5,stemgnn,64,5,cosine_warmup
0.617,0.686,5,stemgnn,64,5,standard
0.703,0.626,5,stemgnn,32,3,standard
0.292,0.612,5,mtgnn,96,3,cosine_warmup
0.394,0.561,5,fgnn,64,3,cosine_warmup
0.378,0.58,5,fgnn,96,4,standard
0.711,0.623,5,stemgnn,32,4,standard
0.803,0.791,5,stemgnn,96,4,cosine_warmup
0.32,0.562,5,agcrn,96,5,cosine
0.355,0.571,5,fgnn,64,5,cosine
0.265,0.573,5,mtgnn,32,3,cosine_warmup
0.419,0.559,5,agcrn,32,5,cosine
0.523,0.641,5,stemgnn,32,4,cosine_warmup
0.778,0.661,5,stemgnn,64,5,cosine
0.368,0.57,5,agcrn,96,6,cosine_warmup
0.74,0.703,5,stemgnn,32,5,cosine
0.295,0.592,5,mtgnn,32,5,cosine_warmup
0.305,0.551,5,agcrn,64,5,cosine
0.392,0.565,5,fgnn,32,5,cosine
0.349,0.559,5,fgnn,32,4,cosine_warmup
0.401,0.565,5,fgnn,32,3,standard
0.263,0.556,5,agcrn,32,6,cosine_warmup
0.346,0.553,5,agcrn,64,6,standard
0.331,0.562,5,fgnn,64,5,standard
0.351,0.592,5,fgnn,96,5,cosine
0.628,0.69,5,stemgnn,96,3,standard
0.379,0.563,5,fgnn,32,4,standard
0.78,0.722,5,stemgnn,96,4,standard
0.255,0.583,5,mtgnn,96,5,cosine_warmup
0.794,0.712,5,stemgnn,96,5,cosine
0.357,0.57,5,fgnn,64,5,cosine_warmup
0.356,0.566,5,fgnn,96,4,cosine_warmup
0.783,0.693,5,stemgnn,64,3,cosine_warmup
0.264,0.574,5,mtgnn,64,6,standard
0.741,0.568,5,mtgnn,64,4,cosine_warmup
