time,Nino34,WWV,NPMM,SPMM,IOB,IOD,SIOD,TNA,ATL3,SASD,month
1982-03-01,-0.14218718,5.8821325,0.27508694,-0.8352945,-0.06896919,0.21051006,0.27936497,0.03628369,0.5463421,1.5593607,3
1982-04-01,0.26812893,7.405728,0.32011318,-0.67396057,0.111992635,0.17708297,0.53549457,-0.065914884,0.07158188,1.739383,4
1982-05-01,0.5414034,8.766083,-0.07249511,-0.2930883,0.30474168,0.6473721,0.39917597,-0.08687556,-0.20209947,1.4030619,5
1982-06-01,0.6963736,8.365629,-0.02008529,-0.14217114,0.24296069,0.50342,0.27508175,-0.07212934,-0.755687,0.89344937,6
1982-07-01,0.76832736,9.633512,-0.16109821,0.11013915,0.16216817,0.69538707,0.28326792,-0.20614453,-0.94716275,0.44251412,7
1982-08-01,1.110468,11.243426,-0.2207763,0.12773232,0.1125029,0.6317023,0.48277968,-0.33182907,-0.9321136,0.29813874,8
1982-09-01,1.4492776,13.19567,-0.2884329,0.3894812,0.11936457,1.2583492,0.7493216,-0.41054252,-0.5374578,0.16859104,9
1982-10-01,1.991167,14.416406,-0.33509588,0.5730368,0.2690178,0.9371669,0.4853735,-0.526653,-0.5327504,-0.2520073,10
1982-11-01,2.3353484,11.715825,-0.10363246,0.5681795,0.38004667,0.79573476,0.3637131,-0.37718967,-0.59088695,-0.80667895,11
1982-12-01,2.4547846,7.011816,-0.10850027,0.62996083,0.3229185,-0.20217669,-0.40321168,-0.5725045,-0.5771498,-1.2387991,12
1983-01-01,2.4827828,-0.43255284,-0.2191307,0.36149153,0.27227053,-0.21905746,-0.7087379,-0.43258938,-0.21553497,-1.2913401,1
1983-02-01,2.043275,-3.8211687,-0.24755545,0.5698417,0.3590743,-0.70482475,-0.7141021,0.02853554,0.22310305,-0.25463843,2
1983-03-01,1.5572656,-4.4001904,-0.15795438,-0.07861155,0.24551558,-0.9996463,-0.66152394,0.6186505,-0.25405973,0.18069491,3
1983-04-01,1.0451752,-4.45292,-0.20299606,0.049828853,0.22224145,-0.71134055,-0.4364539,0.63051665,-0.49474,0.06589471,4
1983-05-01,0.8601676,-6.9075375,-0.43931156,-0.043910485,0.15888624,-0.053891674,-0.34268728,0.21018158,-0.722385,-0.15892716,5
1983-06-01,0.65473324,-11.102875,-0.5271294,0.051828336,0.52524257,0.5972471,-0.20840877,0.16869113,-0.999694,-0.27585614,6
1983-07-01,-0.07468071,-16.238518,-0.6296396,-0.007741008,0.54174805,0.8055269,-0.06131548,0.02023789,-0.48744178,-0.1760235,7
1983-08-01,-0.3565433,-20.706589,-0.5893814,-0.16744144,0.394108,0.6277577,-0.1572569,-0.20259233,-0.15700686,-0.084290676,8
1983-09-01,-0.4752929,-23.708237,-0.4481922,-0.2504946,0.2322963,-0.010769992,-0.18652503,-0.23147565,-0.28545153,-0.20767829,9
1983-10-01,-0.876684,-26.161358,-0.34910187,-0.026362132,0.09919118,-0.10169614,-0.59087193,-0.23297375,-0.6531853,-0.2165417,10
1983-11-01,-0.98806286,-25.566608,-0.14727949,-0.11576281,-0.06134093,-0.29471624,-0.9607815,0.03171537,-0.48470914,0.31139916,11
1983-12-01,-1.1391598,-22.257315,0.11244386,0.20389405,-0.106988356,-0.26574743,-0.41754407,0.1303385,-0.14946309,-0.032609113,12
1984-01-01,-0.86841995,-18.463343,0.26552278,0.5837196,-0.23909537,-0.25501373,-0.23685066,-0.09642594,0.04781992,-0.51778513,1
1984-02-01,-0.46796513,-18.072277,0.13274345,0.4829873,-0.43395963,-0.41411322,-0.52165794,-0.15765935,0.32348368,-0.85206985,2
1984-03-01,-0.50859565,-15.762471,0.072889805,0.1133683,-0.29260164,0.07144254,-0.1862965,-0.13368812,0.54635483,-0.6053284,3
1984-04-01,-0.51066494,-13.500838,-0.23424825,0.17201824,-0.20289254,0.36742947,-0.25316086,-0.15347971,0.41684213,-0.36994517,4
1984-05-01,-0.4875213,-12.579194,-0.34626982,-0.05147809,-0.4469765,-0.1329916,-0.6943454,-0.22525187,0.3138033,-0.49626946,5
1984-06-01,-0.98308665,-11.912622,-0.4624919,-0.28644803,-0.5109591,-0.2753681,-0.64239985,-0.47109485,0.47855556,-0.6560618,6
1984-07-01,-0.7502392,-8.889186,-0.26419148,-0.1955193,-0.43142152,-0.13561392,-0.8731434,-0.42024413,0.5273103,-0.8495155,7
1984-08-01,-0.52882105,-8.025125,-0.39936283,-0.14465384,-0.40937132,-0.5907756,-0.76356316,-0.33532813,0.7737072,-0.86096376,8
1984-09-01,-0.42601922,-7.7957373,-0.15143116,0.31738362,-0.28831834,-0.75744516,-0.6400067,-0.3794402,0.61055434,-0.71699613,9
1984-10-01,-0.7500666,-8.825574,-0.44040194,0.08996433,-0.33738938,-0.50924313,-0.78259736,-0.4768454,0.21493657,-0.3019616,10
1984-11-01,-1.2534761,-7.4326425,-0.42098886,-0.13764618,-0.2961728,-0.2595486,-0.40131363,-0.49105752,0.17931549,-0.4140034,11
1984-12-01,-1.3047245,-7.342199,-0.47666395,-0.38640577,-0.2092297,-0.23467693,-0.29051328,-0.40913886,0.2753841,-0.18126537,12
1985-01-01,-1.1482407,-5.360246,-0.4373376,0.07466305,-0.06036554,-0.15039876,-0.28474775,-0.28944543,0.09786951,-0.39693046,1
1985-02-01,-1.0712073,-4.0608134,-0.31204087,-0.058886603,-0.24133223,-0.29750705,-0.50610733,-0.21484168,0.018672062,-0.47734466,2
1985-03-01,-0.81565064,-3.6901872,-0.505781,-0.3190595,-0.1647447,-0.0938599,-0.5998804,-0.5995675,-0.14180817,0.0053085745,3
1985-04-01,-0.8651648,-0.65691805,-0.3091592,-0.76359415,-0.11175611,-0.07645709,-0.47757158,-0.7140815,0.15386187,0.052807152,4
1985-05-01,-0.6931623,1.0852696,-0.1807552,-0.53617525,-0.096119165,-0.11972718,-0.04990782,-0.8385048,0.108722225,0.17753068,5
1985-06-01,-0.61765826,1.6048268,-0.005752565,-0.33975834,-0.3789269,-0.61796904,-0.08277521,-0.40662777,-0.16340095,-0.17460701,6
1985-07-01,-0.53607506,3.8350472,0.17881437,-0.37820658,-0.21973002,-0.44469532,-0.2839132,-0.08292834,0.32848948,-0.037254594,7
1985-08-01,-0.25007007,4.5178337,0.09596878,-0.5781901,-0.19488017,-0.3644056,-0.2585395,-0.03630879,0.17249452,0.061589144,8
1985-09-01,-0.48909917,2.2686794,0.099720076,-0.79824334,-0.17714547,-0.43964562,-0.3263609,-0.20179358,-0.2927836,0.07864519,9
1985-10-01,-0.36667585,2.2134893,-0.013662835,-0.20882224,-0.34211716,-0.5262064,-0.24547581,-0.30724773,-0.14348046,-0.024979422,10
1985-11-01,-0.3354088,3.3632236,0.096076325,-0.20367768,-0.3851093,-0.4379924,-0.44254526,-0.21084163,-0.08608496,-0.14726765,11
1985-12-01,-0.4718364,3.5766528,0.17386404,-0.07987818,-0.24816231,-0.3634242,-0.014122988,-0.37833798,0.0015128229,-0.3912367,12
1986-01-01,-0.67108196,3.0083666,0.38694635,-0.11883825,-0.2589432,-0.11088671,0.052014615,-0.6350539,-0.13586253,-0.44018447,1
1986-02-01,-0.8049541,3.2728305,0.61186403,-0.28325292,-0.07003114,0.094430156,0.1285225,-0.5323697,0.030042695,-0.3359763,2
1986-03-01,-0.72493833,3.8855505,0.79219365,-0.34153762,-0.18350872,0.4846891,0.081997536,-0.5200842,0.11416986,-0.4798662,3
1986-04-01,-0.5151205,3.0344155,0.58472,-0.34799588,-0.17916064,0.4209439,-0.03538392,-0.5579259,0.20847778,-0.3593352,4
1986-05-01,-0.34522554,3.7851021,0.48449507,-0.077370085,-0.13422723,0.49091655,0.12391111,-0.4123072,0.19685744,-0.8575733,5
1986-06-01,-0.09530475,6.642544,0.5525801,0.0061461893,-0.08169801,0.23279205,0.42220277,-0.5200132,0.10925942,-0.4469536,6
1986-07-01,0.053023674,7.0641265,0.3971594,0.091524825,-0.24505606,-0.33394372,0.61973894,-0.3854719,-0.34629002,-0.09068995,7
