,ammsst,ea,epo,nao,nina1,nina3,nina34,nina4,noi,pacwarm,pna,qbo,soi,solar,tna,tni,tsa,whwp,wp,year,idx_in_year
1951_1,0.7908132449555416,-0.6623656639119176,-0.7247600367399573,-0.3125151360918464,0.45441061203389976,-0.8224218715536423,-1.7901276710505705,-1.725372148934257,0.9106409319350351,-1.457245871918493,-1.0723529935960483,-0.2229300626095838,1.4679136944508677,-0.24581779307021562,-0.1420799762352963,1.2783044211447452,-2.85973305691268,-0.3819010415243315,-0.0770213086419872,1951,1
1951_2,0.3126241627881686,-1.4694597428991407,-1.1989716804961388,0.3852633232288126,0.9196783413962623,-0.14556350380036032,-1.2951328157390103,-1.8988897822736361,0.6141313146647588,-1.7882827819014169,-1.9794472467836515,-0.16556442985956601,0.8161659390942765,-0.36960455447471147,-0.7713357134349454,1.3846770056260724,-2.1215742186682283,-0.4442878459658331,-0.5419114309771853,1951,2
1951_3,0.8505868802264632,0.08331908297845152,0.21436498324777478,-1.2640312169836543,1.1566202406085748,0.8146309248729027,-0.04184796931187699,-0.9590026016853428,1.0549374811163226,-1.6718068320926105,-0.9845696787714417,0.11627541799921726,-0.2918052450119283,-0.35722587833426184,-0.4977462624785762,1.4786637412294368,-2.5697420847452173,-0.7466238982592636,-0.27756214572775895,1951,3
1951_4,1.3845646886466962,-2.0396892552270702,0.04699616780441659,-0.2762669044388252,0.9627586867075911,1.2081532317062065,0.6743148000750574,-0.27939187110611036,-1.4578375885418566,-1.6748719886665264,0.5370077781884087,0.3523890368543631,-0.48732957161890555,0.150299843424171,0.1588684198167098,1.3817626882430223,-1.6206807212880647,-0.6362472442473762,-0.1864072197796809,1951,4
1951_5,1.4124590517731264,0.8026855446844547,-0.008793437343369476,-0.385011599397889,0.6611962695282829,0.9720398476062236,1.0323961847685283,1.1232089983871902,-0.8579813603991981,-1.2917274169270312,1.2392742967852628,0.4646261444087458,-0.8783782248328603,1.006491609805267,0.07679158452979905,1.4968782248734998,-1.2516013021658385,-0.7466238982592636,0.624871621158214,1951,5
1951_6,1.472232687044048,1.6624161940404099,-0.5480929537719681,-1.1552865220245907,0.6698123385905487,0.6493515560029145,0.8322918815574717,0.9352315622695326,-0.3865886436224238,-1.5951779177447114,-0.44811608817662263,0.2517913330463608,0.03406863266636726,0.8641368341900969,0.1588684198167098,1.5056211770226497,-0.9616103299983754,-0.5690614548488362,0.07794206546974557,1951,6
1951_7,1.0817116032740268,-0.7676388046493816,0.9396298501689937,1.3277173462073653,0.32947761063104375,0.4604608487229299,0.6953784109393822,1.0364501817175034,-0.1825583608648429,-1.7024583978317702,-0.3505790717048373,0.05225869739412488,-1.2694268780468148,-0.07251632710392147,0.8154831021119957,1.4283917663718233,-0.5661680952245618,-0.33391119195394575,0.7889504878647546,1951,7
1951_8,0.3285637988604144,-2.873101619398659,0.409628601265026,-0.3034530781785911,-0.377040052474765,-0.2478793035770185,0.0845336958740537,0.183321817798897,-0.3754335487979353,-1.9538012368928788,0.09809120406537496,-0.16473304387768165,-0.42215479608324646,-0.20661865195879195,0.24094525510362053,1.407991544690473,-0.1443630447991607,0.7698553481649276,0.6522180989426375,1951,8
1951_9,-0.07789692098185255,-0.24127310096206217,1.348753621252758,-1.0012315374992502,-0.7604551257456004,-0.37380644176367583,0.30570160994943146,0.3423796483599923,-0.551036331841497,-1.2028378762834684,0.0005541875935896724,-0.215447588772625,-1.334601653582474,-0.041569636752797526,0.10415052962543592,1.2345896603989943,-0.1443630447991607,0.41952944630111133,-3.1580578056870263,1951,9
1951_10,-0.44849345966156656,0.504411645928307,-0.07388131001578654,2.3698540062317264,-0.5665935718446167,-0.20065662675702306,0.27410619365294786,0.1977816205771756,0.013915244753568387,-0.7951720519526454,0.4979929715996946,-0.10487325318201089,-1.2042521025111559,-0.2850169341816393,-0.06000314094838557,0.9023574787312876,-0.19708867610233585,0.44352437108630427,-0.4416410124342995,1951,0
